Year,Catch,Index
1993,NA,0.797829839562528
1994,NA,0.963122465949252
1995,NA,1.33284174131997
1996,NA,0.541634408603768
1997,NA,0.853298469248788
1998,NA,0.810735332952897
1999,NA,1.13798438176533
2000,NA,0.477421235719812
2001,NA,0.313332438322076
2002,NA,0.748940156667573
2003,NA,0.710316586234078
2004,NA,0.799601465597851
2005,NA,0.705701425973991
2006,NA,0.56030154636065
2007,NA,0.941347400975407
2008,NA,1.26325868886816
2009,NA,1.1554041304782
2010,NA,1.2348123187585
2011,NA,1.25298678677913
2012,297.32,1.65133135932097
2013,284.1,1.69992797678244
2014,146.23,2.04786984375863
